anais,origine,n
1991,Europe,38
1991,Maghreb,13
1991,Reste de l'Afrique,2
1991,Turquie,2
1992,Cambodge/Laos/Vietnam,3
1992,Europe,140
1992,Maghreb,52
1992,Reste du monde,8
1992,Turquie,6
1993,Cambodge/Laos/Vietnam,6
1993,Europe,216
1993,Maghreb,96
1993,Reste de l'Afrique,6
1993,Reste du monde,14
1993,Turquie,3
1994,Cambodge/Laos/Vietnam,8
1994,Europe,325
1994,Maghreb,157
1994,Reste de l'Afrique,31
1994,Reste du monde,20
1994,Turquie,13
1995,Cambodge/Laos/Vietnam,11
1995,Europe,446
1995,Maghreb,196
1995,Reste de l'Afrique,21
1995,Reste du monde,14
1995,Turquie,11
1996,Cambodge/Laos/Vietnam,17
1996,Europe,625
1996,Maghreb,281
1996,Reste de l'Afrique,33
1996,Reste du monde,19
1996,Turquie,15
1997,Cambodge/Laos/Vietnam,19
1997,Europe,712
1997,Maghreb,383
1997,Reste de l'Afrique,47
1997,Reste du monde,32
1997,Turquie,25
1998,Cambodge/Laos/Vietnam,30
1998,Europe,1040
1998,Maghreb,545
1998,Reste de l'Afrique,75
1998,Reste du monde,31
1998,Turquie,31
1999,Cambodge/Laos/Vietnam,46
1999,Europe,1162
1999,Maghreb,613
1999,Reste de l'Afrique,105
1999,Reste du monde,57
1999,Turquie,47
2000,Cambodge/Laos/Vietnam,31
2000,Europe,1387
2000,Maghreb,756
2000,Reste de l'Afrique,97
2000,Reste du monde,81
2000,Turquie,55
2001,Cambodge/Laos/Vietnam,49
2001,Europe,1537
2001,Maghreb,901
2001,Reste de l'Afrique,118
2001,Reste du monde,71
2001,Turquie,80
2002,Cambodge/Laos/Vietnam,39
2002,Europe,1632
2002,Maghreb,1026
2002,Reste de l'Afrique,166
2002,Reste du monde,87
2002,Turquie,80
2003,Cambodge/Laos/Vietnam,80
2003,Europe,1625
2003,Maghreb,1210
2003,Reste de l'Afrique,136
2003,Reste du monde,163
2003,Turquie,106
2004,Cambodge/Laos/Vietnam,74
2004,Europe,1660
2004,Maghreb,1332
2004,Reste de l'Afrique,203
2004,Reste du monde,106
2004,Turquie,132
2005,Cambodge/Laos/Vietnam,81
2005,Europe,1691
2005,Maghreb,1403
2005,Reste de l'Afrique,214
2005,Reste du monde,131
2005,Turquie,160
2006,Cambodge/Laos/Vietnam,76
2006,Europe,1653
2006,Maghreb,1520
2006,Reste de l'Afrique,234
2006,Reste du monde,147
2006,Turquie,169
2007,Cambodge/Laos/Vietnam,65
2007,Europe,1510
2007,Maghreb,1458
2007,Reste de l'Afrique,214
2007,Reste du monde,138
2007,Turquie,140
2008,Cambodge/Laos/Vietnam,73
2008,Europe,1194
2008,Maghreb,1393
2008,Reste de l'Afrique,207
2008,Reste du monde,100
2008,Turquie,176
2009,Cambodge/Laos/Vietnam,81
2009,Europe,1165
2009,Maghreb,1311
2009,Reste de l'Afrique,233
2009,Reste du monde,120
2009,Turquie,142
2010,Cambodge/Laos/Vietnam,83
2010,Europe,1165
2010,Maghreb,1310
2010,Reste de l'Afrique,215
2010,Reste du monde,127
2010,Turquie,160
2011,Cambodge/Laos/Vietnam,72
2011,Europe,922
2011,Maghreb,1088
2011,Reste de l'Afrique,232
2011,Reste du monde,117
2011,Turquie,140
2012,Cambodge/Laos/Vietnam,46
2012,Europe,712
2012,Maghreb,910
2012,Reste de l'Afrique,180
2012,Reste du monde,116
2012,Turquie,119
2013,Cambodge/Laos/Vietnam,56
2013,Europe,632
2013,Maghreb,751
2013,Reste de l'Afrique,138
2013,Reste du monde,93
2013,Turquie,93
2014,Cambodge/Laos/Vietnam,36
2014,Europe,443
2014,Maghreb,534
2014,Reste de l'Afrique,140
2014,Reste du monde,71
2014,Turquie,85
2015,Cambodge/Laos/Vietnam,24
2015,Europe,274
2015,Maghreb,406
2015,Reste de l'Afrique,95
2015,Reste du monde,52
2015,Turquie,53
2016,Cambodge/Laos/Vietnam,20
2016,Europe,202
2016,Maghreb,273
2016,Reste de l'Afrique,50
2016,Reste du monde,33
2016,Turquie,44
2017,Cambodge/Laos/Vietnam,10
2017,Europe,72
2017,Maghreb,89
2017,Reste de l'Afrique,23
2017,Reste du monde,22
2017,Turquie,16
